 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA
 'herb','tootsie', 'herb tootsie' ,'live','tootsie live','herb live' , HUM, ind 
 'city','oldest', 'city oldest' ,'relationship','oldest relationship','city relationship' , LOC, city 
 'names','tourist', 'names tourist' ,'attractions','tourist attractions','names attractions' , LOC, other 
 'body','water', 'body water' ,'does','water does','body does' , LOC, other 
 'starred','singing', 'starred singing' ,'rain','singing rain','starred rain' , HUM, ind 
 '19th-century','painter', '19th-century painter' ,'died','painter died','19th-century died' , HUM, ind 
 'country','did', 'country did' ,'nazis','did nazis','country nazis' , LOC, country 
 'species','great', 'species great' ,'white','great white','species white' , NUM, count 
 'nickname','state', 'nickname state' ,'mississippi','state mississippi','nickname mississippi' , LOC, state 
 'villi','small', 'villi small' ,'intestine','small intestine','villi intestine' , NUM, count 
 'country','did', 'country did' ,'king','did king','country king' , LOC, country 
 'year','new', 'year new' ,'zealand','new zealand','year zealand' , NUM, date 
 'did','cnn', 'did cnn' ,'begin','cnn begin','did begin' , NUM, date 
 'did','rococo', 'did rococo' ,'painting','rococo painting','did painting' , NUM, date 
 'country','is', 'country is' ,'national','is national','country national' , LOC, country 
 'following','rhodes', 'following rhodes' ,'scholar','rhodes scholar','following scholar' , HUM, ind 
 'comprised','now-defunct', 'comprised now-defunct' ,'comic','now-defunct comic','comprised comic' , HUM, ind 
 'us','state', 'us state' ,'fort','state fort','us fort' , LOC, state 
 'highest','point', 'highest point' ,'japan','point japan','highest japan' , LOC, mount 
 'does','barney', 'does barney' ,'rubble','barney rubble','does rubble' , LOC, other 
 'world','is', 'world is' ,'oceans','is oceans','world oceans' , LOC, other 
 'internet','i', 'internet i' ,'song','i song','internet song' , LOC, other 
 'money','does', 'money does' ,'injury','does injury','money injury' , NUM, money 
 'i','list', 'i list' ,'of','list of','i of' , LOC, other 
 'long','does', 'long does' ,'blood','does blood','long blood' , NUM, period 
 'crooner','joined', 'crooner joined' ,'andrews','joined andrews','crooner andrews' , HUM, ind 
 'did','bounty', 'did bounty' ,'mutiny','bounty mutiny','did mutiny' , NUM, date 
 'cost','purchase', 'cost purchase' ,'2-foot-square','purchase 2-foot-square','cost 2-foot-square' , NUM, money 
 'actress','received', 'actress received' ,'oscar','received oscar','actress oscar' , HUM, ind 
 'years','fossils', 'years fossils' ,'form','fossils form','years form' , NUM, count 
 'city','boasts', 'city boasts' ,'penn','boasts penn','city penn' , LOC, city 
 'hostages','killed', 'hostages killed' ,'entebbe','killed entebbe','hostages entebbe' , NUM, count 
 'earns','money', 'earns money' ,'hard','money hard','earns hard' , HUM, ind 
 'founded','people', 'founded people' ,'is','people is','founded is' , HUM, ind 
 'athlete','makes', 'athlete makes' ,'money','makes money','athlete money' , HUM, ind 
 'bends','standard', 'bends standard' ,'paper','standard paper','bends paper' , NUM, count 
 'south','american', 'south american' ,'countries','american countries','south countries' , LOC, country 
 'busiest','air', 'busiest air' ,'travel','air travel','busiest travel' , NUM, date 
 'rose','bowl', 'rose bowl' ,'played','bowl played','rose played' , LOC, other 
 'sun-blasted','', 'sun-blasted ' ,'14-mile',' 14-mile','sun-blasted 14-mile' , LOC, other 
 'year','did', 'year did' ,'thatcher','did thatcher','year thatcher' , NUM, date 
 'months','does', 'months does' ,'moon','does moon','months moon' , NUM, count 
 'year','gaulle', 'year gaulle' ,'elected','gaulle elected','year elected' , NUM, date 
 'sings','themes', 'sings themes' ,'for','themes for','sings for' , HUM, ind 
 'directed','', 'directed ' ,'jaws',' jaws','directed jaws' , HUM, ind 
 'colonies','involved', 'colonies involved' ,'american','involved american','colonies american' , NUM, count 
 'city','maurizio', 'city maurizio' ,'pellegrin','maurizio pellegrin','city pellegrin' , LOC, city 
 'i','pictorial', 'i pictorial' ,'directions','pictorial directions','i directions' , LOC, other 
 'managing','director', 'managing director' ,'apricot','director apricot','managing apricot' , HUM, ind 
 'winter','months', 'winter months' ,'southern','months southern','winter southern' , NUM, date 
 'country','contains', 'country contains' ,'africa','contains africa','country africa' , LOC, country 
 'city','called', 'city called' ,'gotham','called gotham','city gotham' , LOC, city 
 'created','dennis', 'created dennis' ,'menace','dennis menace','created menace' , HUM, ind 
 'dummy','received', 'dummy received' ,'honorary','received honorary','dummy honorary' , HUM, ind 
 'wall','street', 'wall street' ,'journal','street journal','wall journal' , NUM, date 
 'countries','largest', 'countries largest' ,'areas','largest areas','countries areas' , LOC, country 
 'alvin','is', 'alvin is' ,'brothers','is brothers','alvin brothers' , HUM, ind 
 'did','royal', 'did royal' ,'wedding','royal wedding','did wedding' , NUM, date 
 'actor','said', 'actor said' ,'day','said day','actor day' , HUM, ind 
 'explorer','nicknamed', 'explorer nicknamed' ,'iberia','nicknamed iberia','explorer iberia' , HUM, ind 
 'cnn','began', 'cnn began' ,'broadcasting','began broadcasting','cnn broadcasting' , NUM, date 
 'south','american', 'south american' ,'city','american city','south city' , LOC, city 
 'species','sharks', 'species sharks' ,'there','sharks there','species there' , NUM, count 
 'acreage','chappellet', 'acreage chappellet' ,'vineyard','chappellet vineyard','acreage vineyard' , NUM, volsize 
 'did','beethoven', 'did beethoven' ,'die','beethoven die','did die' , NUM, date 
 'does','new', 'does new' ,'railroad','new railroad','does railroad' , NUM, money 
 'european','countries', 'european countries' ,'entered','countries entered','european entered' , LOC, country 
 'russian','composer', 'russian composer' ,'is','composer is','russian is' , HUM, ind 
 'mother','man', 'mother man' ,'king','man king','mother king' , HUM, ind 
 'revolutions','does', 'revolutions does' ,'standard','does standard','revolutions standard' , NUM, count 
 'tallest','mountain', 'tallest mountain' ,'world','mountain world','tallest world' , LOC, mount 
 'i','review', 'i review' ,'nightmare','review nightmare','i nightmare' , LOC, other 
 'russian','astronaut', 'russian astronaut' ,'spacewalk','astronaut spacewalk','russian spacewalk' , HUM, ind 
 'south','american', 'south american' ,'countries','american countries','south countries' , NUM, count 
 'george','washington', 'george washington' ,'born','washington born','george born' , LOC, other 
 'people','ground', 'people ground' ,'killed','ground killed','people killed' , NUM, count 
 'wrote','nn', 'wrote nn' ,'dt','nn dt','wrote dt' , HUM, ind 
 'steel','united', 'steel united' ,'states','united states','steel states' , NUM, date 
 'diminutive','american', 'diminutive american' ,'female','american female','diminutive female' , HUM, ind 
 'did','berlin', 'did berlin' ,'wall','berlin wall','did wall' , NUM, date 
 'las','vegas', 'las vegas' ,'hotel','vegas hotel','las hotel' , LOC, other 
 'did','mount', 'did mount' ,'st','mount st','did st' , NUM, date 
 'did','world', 'did world' ,'war','world war','did war' , NUM, date 
 'european','city', 'european city' ,'nicois','city nicois','european nicois' , LOC, city 
 'president','afghanistan', 'president afghanistan' ,'1994','afghanistan 1994','president 1994' , HUM, ind 
 'lead','actress', 'lead actress' ,'movie','actress movie','lead movie' , HUM, ind 
 '16th','president', '16th president' ,'united','president united','16th united' , HUM, ind 
 'sons','ozzie', 'sons ozzie' ,'harriet','ozzie harriet','sons harriet' , HUM, ind 
 'battle','somme', 'battle somme' ,'fought','somme fought','battle fought' , NUM, date 
 'people','did', 'people did' ,'randy','did randy','people randy' , NUM, count 
 'did','spielberg', 'did spielberg' ,'direct','spielberg direct','did direct' , NUM, date 
 'size','largest', 'size largest' ,'akita','largest akita','size akita' , NUM, volsize 
 'california','is', 'california is' ,'capital','is capital','california capital' , LOC, city 
 'author','book', 'author book' ,'computer','book computer','author computer' , HUM, ind 
 'founding','member', 'founding member' ,'pink','member pink','founding pink' , HUM, ind 
 'european','country', 'european country' ,'home','country home','european home' , LOC, country 
 'christopher','columbus', 'christopher columbus' ,'born','columbus born','christopher born' , LOC, other 
 'sea','did', 'sea did' ,'romans','did romans','sea romans' , LOC, other 
 'city','did', 'city did' ,'flintstones','did flintstones','city flintstones' , LOC, city 
 'doonesbury','character', 'doonesbury character' ,'likely','character likely','doonesbury likely' , HUM, ind 
 'stadium','miami', 'stadium miami' ,'dolphins','miami dolphins','stadium dolphins' , LOC, other 
 'speaking','role', 'speaking role' ,'in','role in','speaking in' , HUM, ind 
 'einstein','is', 'einstein is' ,'iq','is iq','einstein iq' , NUM, other 
 'day','pearl', 'day pearl' ,'harbor','pearl harbor','day harbor' , NUM, date 
 'girl','is', 'girl is' ,'is','is is','girl is' , HUM, ind 
 'state','john', 'state john' ,'f','john f','state f' , LOC, state 
 'us','state', 'us state' ,'element','state element','us element' , LOC, state 
 'years','ago', 'years ago' ,'did','ago did','years did' , NUM, count 
 'deepest','area', 'deepest area' ,'arctic','area arctic','deepest arctic' , LOC, other 
 'latitude','longitude', 'latitude longitude' ,'el','longitude el','latitude el' , NUM, other 
 'boat','gopher', 'boat gopher' ,'wood','gopher wood','boat wood' , HUM, ind 
 'i','a', 'i a' ,'','a ','i ' , LOC, other 
 'bloom','county', 'bloom county' ,'resident','county resident','bloom resident' , HUM, ind 
 'normal','resting', 'normal resting' ,'heart','resting heart','normal heart' , NUM, other 
 'calories','big', 'calories big' ,'mac','big mac','calories mac' , NUM, count 
 'part','did', 'part did' ,'john','did john','part john' , HUM, ind 
 'woman','golfer', 'woman golfer' ,'earn','golfer earn','woman earn' , HUM, ind 
 'answerscom','is', 'answerscom is' ,'address','is address','answerscom address' , LOC, other 
 'i','buy', 'i buy' ,'movies','buy movies','i movies' , LOC, other 
 'does','advertizing', 'does advertizing' ,'frito-lay','advertizing frito-lay','does frito-lay' , HUM, ind 
 'what','is', 'what is' ,'american','is american','what american' , NUM, count 
 'man','pig-man', 'man pig-man' ,'pulls','pig-man pulls','man pulls' , HUM, ind 
 'speed','mississippi', 'speed mississippi' ,'river','mississippi river','speed river' , NUM, speed 
 'actor','portrayed', 'actor portrayed' ,'james','portrayed james','actor james' , HUM, ind 
 'ocean','largest', 'ocean largest' ,'world','largest world','ocean world' , LOC, other 
 'american','poet', 'american poet' ,'win','poet win','american win' , HUM, ind 
 'year','did', 'year did' ,'jack','did jack','year jack' , NUM, date 
 'sonnets','did', 'sonnets did' ,'shakespeare','did shakespeare','sonnets shakespeare' , NUM, count 
 'won','nobel', 'won nobel' ,'peace','nobel peace','won peace' , HUM, ind 
 'city','did', 'city did' ,'christian','did christian','city christian' , LOC, city 
 'coach','cleveland', 'coach cleveland' ,'browns','cleveland browns','coach browns' , HUM, ind 
 'speed','mississippi', 'speed mississippi' ,'river','mississippi river','speed river' , NUM, speed 
 'said','super', 'said super' ,'bowl','super bowl','said bowl' , HUM, ind 
 'declared','', 'declared ' ,'',' ','declared ' , HUM, ind 
 'does','chocolate', 'does chocolate' ,'come','chocolate come','does come' , LOC, other 
 'soviet','leader', 'soviet leader' ,'owned','leader owned','soviet owned' , HUM, ind 
 'i','case', 'i case' ,'individuals','case individuals','i individuals' , LOC, other 
 'wrote','song', 'wrote song' ,'','song ','wrote ' , HUM, ind 
 'beatles','', 'beatles ' ,'records',' records','beatles records' , NUM, count 
 'prime','minister', 'prime minister' ,'canada','minister canada','prime canada' , HUM, ind 
 'mountains','lie', 'mountains lie' ,'arkansas','lie arkansas','mountains arkansas' , LOC, mount 
 'received','rogers', 'received rogers' ,'award','rogers award','received award' , HUM, ind 
 'what','is', 'what is' ,'closest','is closest','what closest' , LOC, other 
 'equal','angles', 'equal angles' ,'isosceles','angles isosceles','equal isosceles' , NUM, count 
 'lawyer','represented', 'lawyer represented' ,'randy','represented randy','lawyer randy' , HUM, ind 
 'united','states', 'united states' ,'president','states president','united president' , HUM, ind 
 'basque','country', 'basque country' ,'located','country located','basque located' , LOC, other 
 'time','day', 'time day' ,'did','day did','time did' , NUM, date 
 'years','did', 'years did' ,'james','did james','years james' , NUM, count 
 'south','korean', 'south korean' ,'city','korean city','south city' , LOC, city 
 'types','dogs', 'types dogs' ,'','dogs ','types ' , NUM, count 
 'quantity','american', 'quantity american' ,'soldiers','american soldiers','quantity soldiers' , NUM, other 
 'highest','mountain', 'highest mountain' ,'earth','mountain earth','highest earth' , LOC, mount 
 'ligurian','republic', 'ligurian republic' ,'','republic ','ligurian ' , LOC, other 
 'country','is', 'country is' ,'people','is people','country people' , LOC, country 
 'women','is', 'women is' ,'suffrage','is suffrage','women suffrage' , NUM, date 
 'nevada','center', 'nevada center' ,'dubbed','center dubbed','nevada dubbed' , LOC, city 
 'president','lived', 'president lived' ,'219','lived 219','president 219' , HUM, ind 
 'soccer','goalie', 'soccer goalie' ,'stand','goalie stand','soccer stand' , LOC, other 
 'us','state', 'us state' ,'woman','state woman','us woman' , LOC, state 
 'year','did', 'year did' ,'hitler','did hitler','year hitler' , NUM, date 
 'famous','model', 'famous model' ,'married','model married','famous married' , HUM, ind 
 'money','dumbo', 'money dumbo' ,'is','dumbo is','money is' , NUM, money 
 'danced','stardom', 'danced stardom' ,'fred','stardom fred','danced fred' , HUM, ind 
 'fastest','swimmer', 'fastest swimmer' ,'world','swimmer world','fastest world' , HUM, ind 
 'highest','peak', 'highest peak' ,'africa','peak africa','highest africa' , LOC, mount 
 'procter','&', 'procter &' ,'gamble','& gamble','procter gamble' , LOC, other 
 'desert','called', 'desert called' ,'garden','called garden','desert garden' , LOC, other 
 'miles','ohio', 'miles ohio' ,'north','ohio north','miles north' , NUM, count 
 'snow','equals', 'snow equals' ,'inch','equals inch','snow inch' , NUM, count 
 'does','average', 'does average' ,'teenager','average teenager','does teenager' , NUM, date 
 'actor','is', 'actor is' ,'autobiography','is autobiography','actor autobiography' , HUM, ind 
 'russian','master', 'russian master' ,'spy','master spy','russian spy' , HUM, ind 
 'where','is', 'where is' ,'19th','is 19th','where 19th' , LOC, other 
 'played','original', 'played original' ,'charlie','original charlie','played charlie' , HUM, ind 
 'i','person', 'i person' ,'is','person is','i is' , LOC, other 
 'did','sarge', 'did sarge' ,'steel','sarge steel','did steel' , LOC, other 
 'wrote','night', 'wrote night' ,'iguana','night iguana','wrote iguana' , HUM, ind 
 'country','did', 'country did' ,'king','did king','country king' , LOC, country 
 'painted','mother', 'painted mother' ,'child','mother child','painted child' , HUM, ind 
 'speed','mississippi', 'speed mississippi' ,'river','mississippi river','speed river' , NUM, speed 
 'area','world', 'area world' ,'day','world day','area day' , LOC, other 
 'brightest','star', 'brightest star' ,'visible','star visible','brightest visible' , LOC, other 
 'mao','is', 'mao is' ,'second','is second','mao second' , HUM, ind 
 'dna','-', 'dna -' ,'man','- man','dna man' , HUM, ind 
 'referees','work', 'referees work' ,'soccer','work soccer','referees soccer' , NUM, count 
 'tulip','festival', 'tulip festival' ,'michigan','festival michigan','tulip michigan' , NUM, date 
 'came','name', 'came name' ,'','name ','came ' , HUM, ind 
 'dictator','nickname', 'dictator nickname' ,'','nickname ','dictator ' , HUM, ind 
 'us','city', 'us city' ,'queen','city queen','us queen' , LOC, city 
 'tv','sitcom', 'tv sitcom' ,'character','sitcom character','tv character' , HUM, ind 
 'kept','famous', 'kept famous' ,'diary','famous diary','kept diary' , HUM, ind 
 'i','1', 'i 1' ,'singles','1 singles','i singles' , LOC, other 
 'degrees','cooler', 'degrees cooler' ,'inside','cooler inside','degrees inside' , NUM, count 
 'spanish','artist', 'spanish artist' ,'painted','artist painted','spanish painted' , HUM, ind 
 'spy','novelist', 'spy novelist' ,'served','novelist served','spy served' , HUM, ind 
 'long','does', 'long does' ,'spider-man','does spider-man','long spider-man' , NUM, period 
 'randy','steven', 'randy steven' ,'craft','steven craft','randy craft' , HUM, ind 
 'known','spice', 'known spice' ,'island','spice island','known island' , LOC, other 
 'host','person', 'host person' ,'person','person person','host person' , HUM, ind 
 'ranger','yogi', 'ranger yogi' ,'bear','yogi bear','ranger bear' , HUM, ind 
 'mccarren','airport', 'mccarren airport' ,'located','airport located','mccarren located' , LOC, city 
 'fraction','beaver', 'fraction beaver' ,'is','beaver is','fraction is' , NUM, perc 
 'country','largest', 'country largest' ,'sheep','largest sheep','country sheep' , LOC, country 
 'country','world', 'country world' ,'is','world is','country is' , LOC, country 
 'years','johnnie', 'years johnnie' ,'walker','johnnie walker','years walker' , NUM, count 
 'black-and-white','1-cent', 'black-and-white 1-cent' ,'stamp','1-cent stamp','black-and-white stamp' , NUM, money 
 'country','time', 'country time' ,'zones','time zones','country zones' , LOC, country 
 'president','stanford', 'president stanford' ,'university','stanford university','president university' , HUM, ind 
 'presidential','order', 'presidential order' ,'was','order was','presidential was' , HUM, ind 
 'city','logan', 'city logan' ,'airport','logan airport','city airport' , LOC, city 
 'innings','regulation', 'innings regulation' ,'softball','regulation softball','innings softball' , NUM, count 
 'did','cnn', 'did cnn' ,'air','cnn air','did air' , NUM, date 
 'largest','city', 'largest city' ,'great','city great','largest great' , LOC, city 
 'telephone','number', 'telephone number' ,'university','number university','telephone university' , NUM, code 
 'wives','did', 'wives did' ,'brigham','did brigham','wives brigham' , NUM, count 
 'long','coney', 'long coney' ,'island','coney island','long island' , NUM, dist 
 'city','gained', 'city gained' ,'renown','gained renown','city renown' , LOC, city 
 'shot','poker', 'shot poker' ,'game','poker game','shot game' , HUM, ind 
 'russian','seaport', 'russian seaport' ,'meaning','seaport meaning','russian meaning' , LOC, city 
 'stocks','traded', 'stocks traded' ,'on-line','traded on-line','stocks on-line' , LOC, other 
 'did','muhammad', 'did muhammad' ,'live','muhammad live','did live' , NUM, date 
 'people','mountain', 'people mountain' ,'climb','mountain climb','people climb' , LOC, mount 
 'internet','i', 'internet i' ,'information','i information','internet information' , LOC, other 
 'us','state', 'us state' ,'borders','state borders','us borders' , LOC, state 
 'temperature','baking', 'temperature baking' ,'peachy','baking peachy','temperature peachy' , NUM, temp 
 'did','myth', 'did myth' ,'santa','myth santa','did santa' , LOC, other 
 'city','served', 'city served' ,'logan','served logan','city logan' , LOC, city 
 'wrestling','star', 'wrestling star' ,'became','star became','wrestling became' , HUM, ind 
 'attracts','tourists', 'attracts tourists' ,'reims','tourists reims','attracts reims' , LOC, other 
 'star','1965', 'star 1965' ,'broadway','1965 broadway','star broadway' , HUM, ind 
 'procter','&', 'procter &' ,'gamble','& gamble','procter gamble' , LOC, other 
 'web','address', 'web address' ,'list','address list','web list' , LOC, other 
 'abominable','snowman', 'abominable snowman' ,'said','snowman said','abominable said' , LOC, other 
 'dots','make', 'dots make' ,'symbol','make symbol','dots symbol' , NUM, count 
 'hearts','does', 'hearts does' ,'octopus','does octopus','hearts octopus' , NUM, count 
 'country','allowed', 'country allowed' ,'drive','allowed drive','country drive' , LOC, country 
 'baseball','star', 'baseball star' ,'turned','star turned','baseball turned' , HUM, ind 
 'video','game', 'video game' ,'hero','game hero','video hero' , HUM, ind 
 'holes','tenpin', 'holes tenpin' ,'bowling','tenpin bowling','holes bowling' , NUM, count 
 'city','state', 'city state' ,'gay','state gay','city gay' , LOC, other 
 'tv','comediennes', 'tv comediennes' ,'is','comediennes is','tv is' , HUM, ind 
 'percentage','body', 'percentage body' ,'muscle','body muscle','percentage muscle' , NUM, perc 
 'does','average', 'does average' ,'daycare','average daycare','does daycare' , NUM, money 
 'played','ringo', 'played ringo' ,'kid','ringo kid','played kid' , HUM, ind 
 'died','1', 'died 1' ,'feet','1 feet','died feet' , HUM, ind 
 'site','wwwquestionscom', 'site wwwquestionscom' ,'going','wwwquestionscom going','site going' , NUM, date 
 'nipsy','russell', 'nipsy russell' ,'given','russell given','nipsy given' , HUM, ind 
 'i','best', 'i best' ,'free','best free','i free' , LOC, other 
 'gates','microsoft', 'gates microsoft' ,'e-mail','microsoft e-mail','gates e-mail' , LOC, other 
 'russian','city', 'russian city' ,'boasts','city boasts','russian boasts' , LOC, city 
 'shots','stock', 'shots stock' ,'m16','stock m16','shots m16' , NUM, count 
 'holy','roman', 'holy roman' ,'emperor','roman emperor','holy emperor' , HUM, ind 
 'day','week', 'day week' ,'sees','week sees','day sees' , NUM, date 
 'graced','airwaves', 'graced airwaves' ,'pearls','airwaves pearls','graced pearls' , HUM, ind 
 'portrayed','portly', 'portrayed portly' ,'criminologist','portly criminologist','portrayed criminologist' , HUM, ind 
 'american','encyclopedia', 'american encyclopedia' ,'published','encyclopedia published','american published' , NUM, date 
 'what','is', 'what is' ,'tallest','is tallest','what tallest' , LOC, other 
 'i','information', 'i information' ,'narragansett','information narragansett','i narragansett' , LOC, other 
 'quarters','equal', 'quarters equal' ,'pound','equal pound','quarters pound' , NUM, count 
 'names','rowan', 'names rowan' ,'martin','rowan martin','names martin' , HUM, ind 
 'chapter','bible', 'chapter bible' ,'verses','bible verses','chapter verses' , NUM, ord 
 'worst','president', 'worst president' ,'ever','president ever','worst ever' , HUM, ind 
 'asian','leader', 'asian leader' ,'known','leader known','asian known' , HUM, ind 
 'fast','does', 'fast does' ,'fastest','does fastest','fast fastest' , NUM, speed 
 'highest','mountain', 'highest mountain' ,'world','mountain world','highest world' , LOC, mount 
 'arch','place', 'arch place' ,'la','place la','arch la' , LOC, other 
 'sings','song', 'sings song' ,'','song ','sings ' , HUM, ind 
 'long','person', 'long person' ,'wash','person wash','long wash' , NUM, period 
 'way','turn', 'way turn' ,'bic','turn bic','way bic' , LOC, other 
 'wealthiest','country', 'wealthiest country' ,'world','country world','wealthiest world' , LOC, country 
 'monarch','united', 'monarch united' ,'kingdom','united kingdom','monarch kingdom' , HUM, ind 
 'common','girl', 'common girl' ,'names','girl names','common names' , HUM, ind 
 'country','australia', 'country australia' ,'is','australia is','country is' , LOC, country 
 'kentucky','horse', 'kentucky horse' ,'park','horse park','kentucky park' , LOC, other 
 'does','data', 'does data' ,'collection','data collection','does collection' , HUM, ind 
 'daughter','virginia', 'daughter virginia' ,'chief','virginia chief','daughter chief' , HUM, ind 
 'leading','pecan', 'leading pecan' ,'peanut','pecan peanut','leading peanut' , LOC, state 
 'famous','founders', 'famous founders' ,'united','founders united','famous united' , HUM, ind 
 'sperm','cells', 'sperm cells' ,'average','cells average','sperm average' , NUM, count 
 'far','run', 'far run' ,'hit','run hit','far hit' , NUM, dist 
 'us','president', 'us president' ,'wear','president wear','us wear' , HUM, ind 
 'tropical','rain', 'tropical rain' ,'forest','rain forest','tropical forest' , LOC, other 
 'what','is', 'what is' ,'nickname','is nickname','what nickname' , HUM, ind 
 'number','people', 'number people' ,'randy','people randy','number randy' , NUM, other 
 'far','man', 'far man' ,'travel','man travel','far travel' , NUM, dist 
 'us','highway', 'us highway' ,'death','highway death','us death' , NUM, count 
 'autobiography','titled', 'autobiography titled' ,'yes','titled yes','autobiography yes' , HUM, ind 
 'year','did', 'year did' ,'united','did united','year united' , NUM, date 
 'percentage','americans', 'percentage americans' ,'homes','americans homes','percentage homes' , NUM, perc 
 'what','is', 'what is' ,'day','is day','what day' , NUM, date 
 'city','president', 'city president' ,'william','president william','city william' , LOC, city 
 'city','world', 'city world' ,'is','world is','city is' , LOC, city 
 'claimed','killed', 'claimed killed' ,'4','killed 4','claimed 4' , HUM, ind 
 'degrees','cooler', 'degrees cooler' ,'inside','cooler inside','degrees inside' , NUM, count 
 'double','talking', 'double talking' ,'','talking ','double ' , HUM, ind 
 'expensive','cities', 'expensive cities' ,'world','cities world','expensive world' , LOC, city 
 '19th-century','writer', '19th-century writer' ,'country','writer country','19th-century country' , HUM, ind 
 'layers','yellow', 'layers yellow' ,'paint','yellow paint','layers paint' , NUM, count 
 'county','chicago', 'county chicago' ,'in','chicago in','county in' , LOC, other 
 'named','admiral', 'named admiral' ,'ocean','admiral ocean','named ocean' , HUM, ind 
 'does','average', 'does average' ,'daycare','average daycare','does daycare' , NUM, money 
 'author','landed', 'author landed' ,'468-pound','landed 468-pound','author 468-pound' , HUM, ind 
 'americans','fought', 'americans fought' ,'british','fought british','americans british' , NUM, count 
 'pairs','legs', 'pairs legs' ,'does','legs does','pairs does' , NUM, count 
 'lawyer','won', 'lawyer won' ,'largest','won largest','lawyer largest' , HUM, ind 
 'delivered','newscast', 'delivered newscast' ,'march','newscast march','delivered march' , HUM, ind 
 'times','has', 'times has' ,'','has ','times ' , NUM, count 
 'longest','place', 'longest place' ,'us','place us','longest us' , LOC, other 
 'percent','liked', 'percent liked' ,'thatcher','liked thatcher','percent thatcher' , NUM, perc 
 'does','buzz', 'does buzz' ,'aldrin','buzz aldrin','does aldrin' , LOC, other 
 'i','correct', 'i correct' ,'tabs','correct tabs','i tabs' , LOC, other 
 'major-league','left-handed', 'major-league left-handed' ,'baseball','left-handed baseball','major-league baseball' , HUM, ind 
 'michelangelo','is', 'michelangelo is' ,'name','is name','michelangelo name' , HUM, ind 
 'democratic','nominee', 'democratic nominee' ,'american','nominee american','democratic american' , HUM, ind 
 'asian','country', 'asian country' ,'rights','country rights','asian rights' , LOC, country 
 'fingers','used', 'fingers used' ,'draw','used draw','fingers draw' , NUM, count 
 'president-to-member','congress', 'president-to-member congress' ,'enlist','congress enlist','president-to-member enlist' , HUM, ind 
 'price','varian', 'price varian' ,'associates','varian associates','price associates' , NUM, money 
 'was','', 'was ' ,'great',' great','was great' , NUM, date 
 'classical','spanish', 'classical spanish' ,'writer','spanish writer','classical writer' , HUM, ind 
 'actor','married', 'actor married' ,'john','married john','actor john' , HUM, ind 
 'fired','maria', 'fired maria' ,'ybarra','maria ybarra','fired ybarra' , HUM, ind 
 'italian','artist', 'italian artist' ,'','artist ','italian ' , NUM, period 
 'black','golfer', 'black golfer' ,'tee','golfer tee','black tee' , HUM, ind 
