 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA 
 'bends','standard', 'bends standard' ,'paper','standard paper','bends paper' ,NUM,count 
 'who','discovered', 'who discovered' ,'electricity','discovered electricity','who electricity' ,HUM,ind 
 'who','american', 'who american' ,'space','american space','who space' ,HUM,ind 
 'what','south', 'what south' ,'american','south american','what american' ,LOC,country 
 'what','busiest', 'what busiest' ,'air','busiest air','what air' ,NUM,date 
 'where','rose', 'where rose' ,'bowl','rose bowl','where bowl' ,LOC,other 
 'who','mayor', 'who mayor' ,'marbella','mayor marbella','who marbella' ,HUM,ind 
 'what','sun-blasted', 'what sun-blasted' ,'','sun-blasted ','what ' ,LOC,other 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'months','does', 'months does' ,'moon','does moon','months moon' ,NUM,count 
 'where','49', 'where 49' ,'steps','49 steps','where steps' ,LOC,other 
 'what','year', 'what year' ,'gaulle','year gaulle','what gaulle' ,NUM,date 
 'who','sings', 'who sings' ,'themes','sings themes','who themes' ,HUM,ind 
 'who','directed', 'who directed' ,'','directed ','who ' ,HUM,ind 
 'colonies','involved', 'colonies involved' ,'american','involved american','colonies american' ,NUM,count 
 'what','city', 'what city' ,'maurizio','city maurizio','what maurizio' ,LOC,city 
 'where','i', 'where i' ,'pictorial','i pictorial','where pictorial' ,LOC,other 
 'what','managing', 'what managing' ,'director','managing director','what director' ,HUM,ind 
 'what','winter', 'what winter' ,'months','winter months','what months' ,NUM,date 
 'what','country', 'what country' ,'contains','country contains','what contains' ,LOC,country 
 'where','kalahari', 'where kalahari' ,'desert','kalahari desert','where desert' ,LOC,other 
 'what','city', 'what city' ,'called','city called','what called' ,LOC,city 
 'who','created', 'who created' ,'dennis','created dennis','who dennis' ,HUM,ind 
 'what','dummy', 'what dummy' ,'received','dummy received','what received' ,HUM,ind 
 'when','wall', 'when wall' ,'street','wall street','when street' ,NUM,date 
 'what','countries', 'what countries' ,'largest','countries largest','what largest' ,LOC,country 
 'alvin','is', 'alvin is' ,'brothers','is brothers','alvin brothers' ,HUM,ind 
 'when','did', 'when did' ,'royal','did royal','when royal' ,NUM,date 
 'what','actor', 'what actor' ,'said','actor said','what said' ,HUM,ind 
 'what','explorer', 'what explorer' ,'nicknamed','explorer nicknamed','what nicknamed' ,HUM,ind 
 'cnn','began', 'cnn began' ,'broadcasting','began broadcasting','cnn broadcasting' ,NUM,date 
 'what','south', 'what south' ,'american','south american','what american' ,LOC,city 
 'species','sharks', 'species sharks' ,'there','sharks there','species there' ,NUM,count 
 'what','acreage', 'what acreage' ,'chappellet','acreage chappellet','what chappellet' ,NUM,volsize 
 'when','did', 'when did' ,'beethoven','did beethoven','when beethoven' ,NUM,date 
 'does','new', 'does new' ,'railroad','new railroad','does railroad' ,NUM,money 
 'what','european', 'what european' ,'countries','european countries','what countries' ,LOC,country 
 'what','russian', 'what russian' ,'composer','russian composer','what composer' ,HUM,ind 
 'who','mother', 'who mother' ,'man','mother man','who man' ,HUM,ind 
 'revolutions','does', 'revolutions does' ,'standard','does standard','revolutions standard' ,NUM,count 
 'what','tallest', 'what tallest' ,'mountain','tallest mountain','what mountain' ,LOC,mount 
 'where','i', 'where i' ,'review','i review','where review' ,LOC,other 
 'what','russian', 'what russian' ,'astronaut','russian astronaut','what astronaut' ,HUM,ind 
 'south','american', 'south american' ,'countries','american countries','south countries' ,NUM,count 
 'where','george', 'where george' ,'washington','george washington','where washington' ,LOC,other 
 'people','ground', 'people ground' ,'killed','ground killed','people killed' ,NUM,count 
 'who','wrote', 'who wrote' ,'nn','wrote nn','who nn' ,HUM,ind 
 'when','steel', 'when steel' ,'united','steel united','when united' ,NUM,date 
 'what','diminutive', 'what diminutive' ,'american','diminutive american','what american' ,HUM,ind 
 'when','did', 'when did' ,'berlin','did berlin','when berlin' ,NUM,date 
 'what','las', 'what las' ,'vegas','las vegas','what vegas' ,LOC,other 
 'when','did', 'when did' ,'mount','did mount','when mount' ,NUM,date 
 'when','did', 'when did' ,'world','did world','when world' ,NUM,date 
 'what','european', 'what european' ,'city','european city','what city' ,LOC,city 
 'who','president', 'who president' ,'afghanistan','president afghanistan','who afghanistan' ,HUM,ind 
 'who','lead', 'who lead' ,'actress','lead actress','who actress' ,HUM,ind 
 'who','16th', 'who 16th' ,'president','16th president','who president' ,HUM,ind 
 'who','sons', 'who sons' ,'ozzie','sons ozzie','who ozzie' ,HUM,ind 
 'when','boxing', 'when boxing' ,'day','boxing day','when day' ,NUM,date 
 'when','battle', 'when battle' ,'somme','battle somme','when somme' ,NUM,date 
 'people','did', 'people did' ,'randy','did randy','people randy' ,NUM,count 
 'when','did', 'when did' ,'spielberg','did spielberg','when spielberg' ,NUM,date 
 'what','size', 'what size' ,'largest','size largest','what largest' ,NUM,volsize 
 'what','california', 'what california' ,'is','california is','what is' ,LOC,city 
 'who','author', 'who author' ,'book','author book','who book' ,HUM,ind 
 'who','founding', 'who founding' ,'member','founding member','who member' ,HUM,ind 
 'what','european', 'what european' ,'country','european country','what country' ,LOC,country 
 'where','christopher', 'where christopher' ,'columbus','christopher columbus','where columbus' ,LOC,other 
 'what','sea', 'what sea' ,'did','sea did','what did' ,LOC,other 
 'what','city', 'what city' ,'did','city did','what did' ,LOC,city 
 'doonesbury','character', 'doonesbury character' ,'likely','character likely','doonesbury likely' ,HUM,ind 
 'what','stadium', 'what stadium' ,'miami','stadium miami','what miami' ,LOC,other 
 'who','speaking', 'who speaking' ,'role','speaking role','who role' ,HUM,ind 
 'what','einstein', 'what einstein' ,'is','einstein is','what is' ,NUM,other 
 'what','day', 'what day' ,'pearl','day pearl','what pearl' ,NUM,date 
 'what','girl', 'what girl' ,'is','girl is','what is' ,HUM,ind 
 'what','state', 'what state' ,'john','state john','what john' ,LOC,state 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'years','ago', 'years ago' ,'did','ago did','years did' ,NUM,count 
 'what','deepest', 'what deepest' ,'area','deepest area','what area' ,LOC,other 
 'what','latitude', 'what latitude' ,'longitude','latitude longitude','what longitude' ,NUM,other 
 'who','boat', 'who boat' ,'gopher','boat gopher','who gopher' ,HUM,ind 
 'where','i', 'where i' ,'a','i a','where a' ,LOC,other 
 'bloom','county', 'bloom county' ,'resident','county resident','bloom resident' ,HUM,ind 
 'what','normal', 'what normal' ,'resting','normal resting','what resting' ,NUM,other 
 'what','population', 'what population' ,'ohio','population ohio','what ohio' ,NUM,other 
 'calories','big', 'calories big' ,'mac','big mac','calories mac' ,NUM,count 
 'what','part', 'what part' ,'did','part did','what did' ,HUM,ind 
 'who','followed', 'who followed' ,'caesar','followed caesar','who caesar' ,HUM,ind 
 'who','woman', 'who woman' ,'golfer','woman golfer','who golfer' ,HUM,ind 
 'what','answerscom', 'what answerscom' ,'is','answerscom is','what is' ,LOC,other 
 'where','i', 'where i' ,'buy','i buy','where buy' ,LOC,other 
 'who','does', 'who does' ,'advertizing','does advertizing','who advertizing' ,HUM,ind 
 'who','invented', 'who invented' ,'radio','invented radio','who radio' ,HUM,ind 
 'what','is', 'what is' ,'american','is american','what american' ,NUM,count 
 'who','man', 'who man' ,'pig-man','man pig-man','who pig-man' ,HUM,ind 
 'what','speed', 'what speed' ,'mississippi','speed mississippi','what mississippi' ,NUM,speed 
 'what','actor', 'what actor' ,'portrayed','actor portrayed','what portrayed' ,HUM,ind 
 'what','ocean', 'what ocean' ,'largest','ocean largest','what largest' ,LOC,other 
 'who','american', 'who american' ,'poet','american poet','who poet' ,HUM,ind 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'sonnets','did', 'sonnets did' ,'shakespeare','did shakespeare','sonnets shakespeare' ,NUM,count 
 'who','won', 'who won' ,'nobel','won nobel','who nobel' ,HUM,ind 
 'city','did', 'city did' ,'christian','did christian','city christian' ,LOC,city 
 'who','coach', 'who coach' ,'cleveland','coach cleveland','who cleveland' ,HUM,ind 
 'what','speed', 'what speed' ,'mississippi','speed mississippi','what mississippi' ,NUM,speed 
 'who','said', 'who said' ,'super','said super','who super' ,HUM,ind 
 'who','declared', 'who declared' ,':','declared :','who :' ,HUM,ind 
 'where','does', 'where does' ,'chocolate','does chocolate','where chocolate' ,LOC,other 
 'what','soviet', 'what soviet' ,'leader','soviet leader','what leader' ,HUM,ind 
 'where','i', 'where i' ,'case','i case','where case' ,LOC,other 
 'who','wrote', 'who wrote' ,'song','wrote song','who song' ,HUM,ind 
 'beatles','', 'beatles ' ,'records',' records','beatles records' ,NUM,count 
 'who','prime', 'who prime' ,'minister','prime minister','who minister' ,HUM,ind 
 'what','mountains', 'what mountains' ,'lie','mountains lie','what lie' ,LOC,mount 
 'who','received', 'who received' ,'rogers','received rogers','who rogers' ,HUM,ind 
 'what','is', 'what is' ,'closest','is closest','what closest' ,LOC,other 
 'equal','angles', 'equal angles' ,'isosceles','angles isosceles','equal isosceles' ,NUM,count 
 'what','lawyer', 'what lawyer' ,'who','lawyer who','what who' ,HUM,ind 
 'what','united', 'what united' ,'states','united states','what states' ,HUM,ind 
 'where','basque', 'where basque' ,'country','basque country','where country' ,LOC,other 
 'what','time', 'what time' ,'day','time day','what day' ,NUM,date 
 'years','did', 'years did' ,'james','did james','years james' ,NUM,count 
 'what','south', 'what south' ,'korean','south korean','what korean' ,LOC,city 
 'types','dogs', 'types dogs' ,'','dogs ','types ' ,NUM,count 
 'what','quantity', 'what quantity' ,'american','quantity american','what american' ,NUM,other 
 'what','highest', 'what highest' ,'mountain','highest mountain','what mountain' ,LOC,mount 
 'where','ligurian', 'where ligurian' ,'republic','ligurian republic','where republic' ,LOC,other 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'when','women', 'when women' ,'is','women is','when is' ,NUM,date 
 'what','nevada', 'what nevada' ,'center','nevada center','what center' ,LOC,city 
 'what','president', 'what president' ,'lived','president lived','what lived' ,HUM,ind 
 'where','soccer', 'where soccer' ,'goalie','soccer goalie','where goalie' ,LOC,other 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'what','famous', 'what famous' ,'model','famous model','what model' ,HUM,ind 
 'money','dumbo', 'money dumbo' ,'is','dumbo is','money is' ,NUM,money 
 'who','danced', 'who danced' ,'stardom','danced stardom','who stardom' ,HUM,ind 
 'who','fastest', 'who fastest' ,'swimmer','fastest swimmer','who swimmer' ,HUM,ind 
 'what','highest', 'what highest' ,'peak','highest peak','what peak' ,LOC,mount 
 'where','procter', 'where procter' ,'&','procter &','where &' ,LOC,other 
 'what','desert', 'what desert' ,'called','desert called','what called' ,LOC,other 
 'miles','ohio', 'miles ohio' ,'north','ohio north','miles north' ,NUM,count 
 'snow','equals', 'snow equals' ,'inch','equals inch','snow inch' ,NUM,count 
 'when','does', 'when does' ,'average','does average','when average' ,NUM,date 
 'what','actor', 'what actor' ,'is','actor is','what is' ,HUM,ind 
 'what','russian', 'what russian' ,'master','russian master','what master' ,HUM,ind 
 'where','is', 'where is' ,'19th','is 19th','where 19th' ,LOC,other 
 'who','played', 'who played' ,'original','played original','who original' ,HUM,ind 
 'where','i', 'where i' ,'person','i person','where person' ,LOC,other 
 'where','did', 'where did' ,'sarge','did sarge','where sarge' ,LOC,other 
 'who','wrote', 'who wrote' ,'night','wrote night','who night' ,HUM,ind 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'who','painted', 'who painted' ,'mother','painted mother','who mother' ,HUM,ind 
 'what','speed', 'what speed' ,'mississippi','speed mississippi','what mississippi' ,NUM,speed 
 'what','area', 'what area' ,'world','area world','what world' ,LOC,other 
 'what','brightest', 'what brightest' ,'star','brightest star','what star' ,LOC,other 
 'what','mao', 'what mao' ,'is','mao is','what is' ,HUM,ind 
 'where','hyenas', 'where hyenas' ,'live','hyenas live','where live' ,LOC,other 
 'who','dna', 'who dna' ,'-','dna -','who -' ,HUM,ind 
 'referees','work', 'referees work' ,'soccer','work soccer','referees soccer' ,NUM,count 
 'when','tulip', 'when tulip' ,'festival','tulip festival','when festival' ,NUM,date 
 'who','came', 'who came' ,'name','came name','who name' ,HUM,ind 
 'what','dictator', 'what dictator' ,'nickname','dictator nickname','what nickname' ,HUM,ind 
 'what','us', 'what us' ,'city','us city','what city' ,LOC,city 
 'what','tv', 'what tv' ,'sitcom','tv sitcom','what sitcom' ,HUM,ind 
 'who','kept', 'who kept' ,'famous','kept famous','who famous' ,HUM,ind 
 'where','i', 'where i' ,'1','i 1','where 1' ,LOC,other 
 'degrees','cooler', 'degrees cooler' ,'inside','cooler inside','degrees inside' ,NUM,count 
 'what','spanish', 'what spanish' ,'artist','spanish artist','what artist' ,HUM,ind 
 'what','spy', 'what spy' ,'novelist','spy novelist','what novelist' ,HUM,ind 
 'long','does', 'long does' ,'spider-man','does spider-man','long spider-man' ,NUM,period 
 'who','randy', 'who randy' ,'steven','randy steven','who steven' ,HUM,ind 
 'what','known', 'what known' ,'spice','known spice','what spice' ,LOC,other 
 'who','host', 'who host' ,'person','host person','who person' ,HUM,ind 
 'ranger','who', 'ranger who' ,'yogi','who yogi','ranger yogi' ,HUM,ind 
 'who','superstar', 'who superstar' ,'rent-a-cars','superstar rent-a-cars','who rent-a-cars' ,HUM,ind 
 'mccarren','airport', 'mccarren airport' ,'located','airport located','mccarren located' ,LOC,city 
 'what','fraction', 'what fraction' ,'beaver','fraction beaver','what beaver' ,NUM,perc 
 'what','country', 'what country' ,'largest','country largest','what largest' ,LOC,country 
 'what','country', 'what country' ,'world','country world','what world' ,LOC,country 
 'years','johnnie', 'years johnnie' ,'walker','johnnie walker','years walker' ,NUM,count 
 'black-and-white','1-cent', 'black-and-white 1-cent' ,'stamp','1-cent stamp','black-and-white stamp' ,NUM,money 
 'what','country', 'what country' ,'time','country time','what time' ,LOC,country 
 'who','president', 'who president' ,'stanford','president stanford','who stanford' ,HUM,ind 
 'presidential','order', 'presidential order' ,'was','order was','presidential was' ,HUM,ind 
 'what','city', 'what city' ,'logan','city logan','what logan' ,LOC,city 
 'innings','regulation', 'innings regulation' ,'softball','regulation softball','innings softball' ,NUM,count 
 'when','did', 'when did' ,'cnn','did cnn','when cnn' ,NUM,date 
 'what','largest', 'what largest' ,'city','largest city','what city' ,LOC,city 
 'what','telephone', 'what telephone' ,'number','telephone number','what number' ,NUM,code 
 'who','invented', 'who invented' ,'baseball','invented baseball','who baseball' ,HUM,ind 
 'wives','did', 'wives did' ,'brigham','did brigham','wives brigham' ,NUM,count 
 'long','coney', 'long coney' ,'island','coney island','long island' ,NUM,dist 
 'what','city', 'what city' ,'gained','city gained','what gained' ,LOC,city 
 'who','shot', 'who shot' ,'poker','shot poker','who poker' ,HUM,ind 
 'what','russian', 'what russian' ,'seaport','russian seaport','what seaport' ,LOC,city 
 'where','stocks', 'where stocks' ,'traded','stocks traded','where traded' ,LOC,other 
 'when','battle', 'when battle' ,'hastings','battle hastings','when hastings' ,NUM,date 
 'when','did', 'when did' ,'muhammad','did muhammad','when muhammad' ,NUM,date 
 'where','people', 'where people' ,'mountain','people mountain','where mountain' ,LOC,mount 
 'what','nordic', 'what nordic' ,'nations','nordic nations','what nations' ,LOC,country 
 'where','internet', 'where internet' ,'i','internet i','where i' ,LOC,other 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','temperature', 'what temperature' ,'baking','temperature baking','what baking' ,NUM,temp 
 'where','did', 'where did' ,'myth','did myth','where myth' ,LOC,other 
 'what','city', 'what city' ,'served','city served','what served' ,LOC,city 
 'what','wrestling', 'what wrestling' ,'star','wrestling star','what star' ,HUM,ind 
 'what','attracts', 'what attracts' ,'tourists','attracts tourists','what tourists' ,LOC,other 
 'who','star', 'who star' ,'1965','star 1965','who 1965' ,HUM,ind 
 'where','procter', 'where procter' ,'&','procter &','where &' ,LOC,other 
 'what','web', 'what web' ,'address','web address','what address' ,LOC,other 
 'what','real', 'what real' ,'name','real name','what name' ,HUM,ind 
 'who','invented', 'who invented' ,'toothbrush','invented toothbrush','who toothbrush' ,HUM,ind 
 'where','abominable', 'where abominable' ,'snowman','abominable snowman','where snowman' ,LOC,other 
 'dots','make', 'dots make' ,'symbol','make symbol','dots symbol' ,NUM,count 
 'hearts','does', 'hearts does' ,'octopus','does octopus','hearts octopus' ,NUM,count 
 'what','country', 'what country' ,'allowed','country allowed','what allowed' ,LOC,country 
 'what','baseball', 'what baseball' ,'star','baseball star','what star' ,HUM,ind 
 'what','video', 'what video' ,'game','video game','what game' ,HUM,ind 
 'holes','tenpin', 'holes tenpin' ,'bowling','tenpin bowling','holes bowling' ,NUM,count 
 'what','city', 'what city' ,'state','city state','what state' ,LOC,other 
 'what','tv', 'what tv' ,'comediennes','tv comediennes','what comediennes' ,HUM,ind 
 'what','percentage', 'what percentage' ,'body','percentage body','what body' ,NUM,perc 
 'what','does', 'what does' ,'average','does average','what average' ,NUM,money 
 'who','played', 'who played' ,'ringo','played ringo','who ringo' ,HUM,ind 
 'who','died', 'who died' ,'1','died 1','who 1' ,HUM,ind 
 'when','site', 'when site' ,'wwwquestionscom','site wwwquestionscom','when wwwquestionscom' ,NUM,date 
 'what','nipsy', 'what nipsy' ,'russell','nipsy russell','what russell' ,HUM,ind 
 'who','youngest', 'who youngest' ,'beatles','youngest beatles','who beatles' ,HUM,ind 
 'where','i', 'where i' ,'best','i best','where best' ,LOC,other 
 'what','gates', 'what gates' ,'microsoft','gates microsoft','what microsoft' ,LOC,other 
 'what','russian', 'what russian' ,'city','russian city','what city' ,LOC,city 
 'when','bastille', 'when bastille' ,'day','bastille day','when day' ,NUM,date 
 'shots','stock', 'shots stock' ,'m16','stock m16','shots m16' ,NUM,count 
 'who','holy', 'who holy' ,'roman','holy roman','who roman' ,HUM,ind 
 'what','day', 'what day' ,'week','day week','what week' ,NUM,date 
 'who','graced', 'who graced' ,'airwaves','graced airwaves','who airwaves' ,HUM,ind 
 'who','portrayed', 'who portrayed' ,'portly','portrayed portly','who portly' ,HUM,ind 
 'when','american', 'when american' ,'encyclopedia','american encyclopedia','when encyclopedia' ,NUM,date 
 'what','is', 'what is' ,'tallest','is tallest','what tallest' ,LOC,other 
 'where','i', 'where i' ,'information','i information','where information' ,LOC,other 
 'quarters','equal', 'quarters equal' ,'pound','equal pound','quarters pound' ,NUM,count 
 'what','names', 'what names' ,'rowan','names rowan','what rowan' ,HUM,ind 
 'what','chapter', 'what chapter' ,'bible','chapter bible','what bible' ,NUM,ord 
 'who','worst', 'who worst' ,'president','worst president','who president' ,HUM,ind 
 'what','asian', 'what asian' ,'leader','asian leader','what leader' ,HUM,ind 
 'fast','does', 'fast does' ,'fastest','does fastest','fast fastest' ,NUM,speed 
 'what','highest', 'what highest' ,'mountain','highest mountain','what mountain' ,LOC,mount 
 'what','arch', 'what arch' ,'place','arch place','what place' ,LOC,other 
 'who','sings', 'who sings' ,'song','sings song','who song' ,HUM,ind 
 'long','person', 'long person' ,'wash','person wash','long wash' ,NUM,period 
 'way','turn', 'way turn' ,'bic','turn bic','way bic' ,LOC,other 
 'wealthiest','country', 'wealthiest country' ,'world','country world','wealthiest world' ,LOC,country 
 'who','monarch', 'who monarch' ,'united','monarch united','who united' ,HUM,ind 
 'what','common', 'what common' ,'girl','common girl','what girl' ,HUM,ind 
 'country','australia', 'country australia' ,'is','australia is','country is' ,LOC,country 
 'where','kentucky', 'where kentucky' ,'horse','kentucky horse','where horse' ,LOC,other 
 'who','does', 'who does' ,'data','does data','who data' ,HUM,ind 
 'what','daughter', 'what daughter' ,'virginia','daughter virginia','what virginia' ,HUM,ind 
 'what','leading', 'what leading' ,'pecan','leading pecan','what pecan' ,LOC,state 
 'who','famous', 'who famous' ,'founders','famous founders','who founders' ,HUM,ind 
 'sperm','cells', 'sperm cells' ,'average','cells average','sperm average' ,NUM,count 
 'far','run', 'far run' ,'hit','run hit','far hit' ,NUM,dist 
 'who','us', 'who us' ,'president','us president','who president' ,HUM,ind 
 'where','tropical', 'where tropical' ,'rain','tropical rain','where rain' ,LOC,other 
 'what','is', 'what is' ,'nickname','is nickname','what nickname' ,HUM,ind 
 'what','number', 'what number' ,'people','number people','what people' ,NUM,other 
 'far','man', 'far man' ,'travel','man travel','far travel' ,NUM,dist 
 'where','lincoln', 'where lincoln' ,'assassinated','lincoln assassinated','where assassinated' ,LOC,other 
 'what','us', 'what us' ,'highway','us highway','what highway' ,NUM,count 
 'autobiography','titled', 'autobiography titled' ,'yes','titled yes','autobiography yes' ,HUM,ind 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'what','percentage', 'what percentage' ,'americans','percentage americans','what americans' ,NUM,perc 
 'what','is', 'what is' ,'day','is day','what day' ,NUM,date 
 'what','city', 'what city' ,'president','city president','what president' ,LOC,city 
 'what','city', 'what city' ,'world','city world','what world' ,LOC,city 
 'who','claimed', 'who claimed' ,'killed','claimed killed','who killed' ,HUM,ind 
 'degrees','cooler', 'degrees cooler' ,'inside','cooler inside','degrees inside' ,NUM,count 
 'what','double', 'what double' ,'talking','double talking','what talking' ,HUM,ind 
 'what','expensive', 'what expensive' ,'cities','expensive cities','what cities' ,LOC,city 
 'what','19th-century', 'what 19th-century' ,'writer','19th-century writer','what writer' ,HUM,ind 
 'layers','yellow', 'layers yellow' ,'paint','yellow paint','layers paint' ,NUM,count 
 'what','cook', 'what cook' ,'rawhide','cook rawhide','what rawhide' ,HUM,ind 
 'what','county', 'what county' ,'chicago','county chicago','what chicago' ,LOC,other 
 'what','wingspan', 'what wingspan' ,'condor','wingspan condor','what condor' ,NUM,dist 
 'who','named', 'who named' ,'admiral','named admiral','who admiral' ,HUM,ind 
 'what','does', 'what does' ,'average','does average','what average' ,NUM,money 
 'what','author', 'what author' ,'landed','author landed','what landed' ,HUM,ind 
 'americans','fought', 'americans fought' ,'british','fought british','americans british' ,NUM,count 
 'pairs','legs', 'pairs legs' ,'does','legs does','pairs does' ,NUM,count 
 'what','lawyer', 'what lawyer' ,'won','lawyer won','what won' ,HUM,ind 
 'who','delivered', 'who delivered' ,'newscast','delivered newscast','who newscast' ,HUM,ind 
 'times','has', 'times has' ,'','has ','times ' ,NUM,count 
